date,cash,holdings_value,portfolio_value,num_positions
2024-02-08 05:00:00,10000.0,0.0,10000.0,0
2024-02-09 05:00:00,10000.0,0.0,10000.0,0
2024-02-12 05:00:00,10000.0,0.0,10000.0,0
2024-02-13 05:00:00,10000.0,0.0,10000.0,0
2024-02-14 05:00:00,10000.0,0.0,10000.0,0
2024-02-15 05:00:00,10000.0,0.0,10000.0,0
2024-02-16 05:00:00,10000.0,0.0,10000.0,0
2024-02-20 05:00:00,10000.0,0.0,10000.0,0
2024-02-21 05:00:00,10000.0,0.0,10000.0,0
2024-02-22 05:00:00,10000.0,0.0,10000.0,0
2024-02-23 05:00:00,10000.0,0.0,10000.0,0
2024-02-26 05:00:00,10000.0,0.0,10000.0,0
2024-02-27 05:00:00,10000.0,0.0,10000.0,0
2024-02-28 05:00:00,10000.0,0.0,10000.0,0
2024-02-29 05:00:00,10000.0,0.0,10000.0,0
2024-03-01 05:00:00,10000.0,0.0,10000.0,0
2024-03-04 05:00:00,10000.0,0.0,10000.0,0
2024-03-05 05:00:00,10000.0,0.0,10000.0,0
2024-03-06 05:00:00,10000.0,0.0,10000.0,0
2024-03-07 05:00:00,10000.0,0.0,10000.0,0
2024-03-08 05:00:00,10000.0,0.0,10000.0,0
2024-03-11 04:00:00,10000.0,0.0,10000.0,0
2024-03-12 04:00:00,10000.0,0.0,10000.0,0
2024-03-13 04:00:00,10000.0,0.0,10000.0,0
2024-03-14 04:00:00,10000.0,0.0,10000.0,0
2024-03-15 04:00:00,10000.0,0.0,10000.0,0
2024-03-18 04:00:00,10000.0,0.0,10000.0,0
2024-03-19 04:00:00,10000.0,0.0,10000.0,0
2024-03-20 04:00:00,10000.0,0.0,10000.0,0
2024-03-21 04:00:00,10000.0,0.0,10000.0,0
2024-03-22 04:00:00,10000.0,0.0,10000.0,0
2024-03-25 04:00:00,10000.0,0.0,10000.0,0
2024-03-26 04:00:00,10000.0,0.0,10000.0,0
2024-03-27 04:00:00,10000.0,0.0,10000.0,0
2024-03-28 04:00:00,10000.0,0.0,10000.0,0
2024-04-01 04:00:00,10000.0,0.0,10000.0,0
2024-04-02 04:00:00,10000.0,0.0,10000.0,0
2024-04-03 04:00:00,10000.0,0.0,10000.0,0
2024-04-04 04:00:00,10000.0,0.0,10000.0,0
2024-04-05 04:00:00,10000.0,0.0,10000.0,0
2024-04-08 04:00:00,10000.0,0.0,10000.0,0
2024-04-09 04:00:00,10000.0,0.0,10000.0,0
2024-04-10 04:00:00,0.0,10000.0,10000.0,1
2024-04-11 04:00:00,10432.709500536415,0.0,10432.709500536415,0
2024-04-12 04:00:00,10432.709500536415,0.0,10432.709500536415,0
2024-04-15 04:00:00,0.0,10432.709500536415,10432.709500536415,1
2024-04-16 04:00:00,10150.377691536267,0.0,10150.377691536267,0
2024-04-17 04:00:00,10150.377691536267,0.0,10150.377691536267,0
2024-04-18 04:00:00,10150.377691536267,0.0,10150.377691536267,0
2024-04-19 04:00:00,0.0,10150.377691536267,10150.377691536267,2
2024-04-22 04:00:00,5150.751412331709,5098.586188612925,10249.337600944633,1
2024-04-23 04:00:00,10333.390011925108,0.0,10333.390011925108,0
